ecg_ts,ecg,bpm,leadOff
32152,1815,0,0
32166,0,0,0
32180,0,0,0
32194,0,0,0
32210,0,0,0
32225,0,0,0
32246,0,0,0
32265,0,0,0
32280,0,0,0
32294,0,0,0
32309,0,0,0
32325,0,0,0
32355,0,0,0
32369,0,0,0
32383,0,0,0
32398,0,0,0
32413,0,0,0
32427,0,0,0
32445,0,0,0
32460,0,0,0
32474,0,0,0
32488,0,0,0
32503,0,0,0
32517,0,0,0
32531,0,0,0
32547,0,0,0
32562,0,0,0
32576,0,0,0
32590,0,0,0
32605,0,0,0
32620,0,0,0
32634,0,0,0
32652,0,0,0
32667,0,0,0
32682,0,0,0
32696,0,0,0
32710,0,0,0
32732,0,0,0
32748,0,0,0
32763,0,0,0
32778,0,0,0
32793,0,0,0
32807,0,0,0
32821,0,0,0
32837,0,0,0
32853,0,0,0
32869,0,0,0
32883,0,0,0
32905,0,0,0
32920,0,0,0
32935,0,0,0
32956,0,0,0
32971,0,0,0
32985,0,0,0
33001,0,0,0
33016,0,0,0
33031,0,0,0
33050,0,0,0
33073,0,0,0
33087,0,0,0
33101,0,0,0
33117,0,0,0
33132,0,0,0
33146,0,0,0
33162,0,0,0
33176,0,0,0
33192,0,0,0
33206,0,0,0
33220,0,0,0
33241,0,0,0
33257,0,0,0
33271,0,0,0
33290,0,0,0
33306,0,0,0
33320,0,0,0
33334,0,0,0
33351,0,0,0
33367,0,0,0
33381,0,0,0
33395,0,0,0
33416,0,0,0
33431,0,0,0
33447,0,0,0
33466,0,0,0
33481,0,0,0
33495,0,0,0
33509,0,0,0
33524,0,0,0
33539,0,0,0
33554,0,0,0
33570,0,0,0
33589,0,0,0
33604,0,0,0
33618,0,0,0
33633,0,0,0
33648,0,0,0
33689,0,0,0
33704,0,0,0
33718,0,0,0
33733,0,0,0
33748,0,0,0
33766,0,0,0
33784,0,0,0
33799,0,0,0
33813,0,0,0
33834,0,0,0
33849,0,0,0
33864,0,0,0
33881,0,0,0
33897,0,0,0
33912,0,0,0
33926,0,0,0
33940,0,0,0
33964,0,0,0
33979,0,0,1
33994,0,0,1
34008,0,0,1
34022,0,0,1
34037,0,0,1
34051,0,0,1
34075,0,0,1
34090,0,0,1
34104,0,0,1
34118,0,0,1
34132,0,0,1
34147,0,0,1
34161,0,0,1
34176,0,0,1
34197,0,0,1
34212,0,0,1
34226,0,0,0
34242,0,0,0
34257,565,0,0
34271,1837,0,0
34286,1825,0,0
34301,1835,0,0
34317,0,0,0
34331,0,0,1
34345,0,0,1
34366,0,0,1
34383,0,0,1
34398,0,0,1
34413,0,0,1
34428,0,0,1
34442,0,0,1
34457,0,0,1
34471,0,0,1
34487,0,0,1
34502,0,0,1
34516,0,0,1
34536,0,0,1
34551,0,0,1
34565,0,0,1
34589,0,0,1
34604,0,0,1
34619,0,0,1
34633,0,0,1
34647,0,0,1
34662,0,0,1
34676,0,0,1
34691,0,0,1
34712,0,0,1
34727,0,0,1
34741,0,0,1
34755,0,0,1
34769,0,0,1
34784,0,0,1
34799,0,0,1
34822,0,0,1
34912,0,0,1
34927,0,0,1
34941,0,0,0
34956,0,0,1
34971,0,0,1
34985,0,0,1
35002,0,0,1
35023,0,0,1
35732,0,0,1
35747,0,0,1
35761,0,0,1
35776,0,0,1
35791,0,0,1
35807,0,0,1
35823,0,0,1
35838,0,0,1
35857,0,0,1
35872,0,0,1
35886,0,0,1
35900,0,0,1
35917,0,0,1
35934,0,0,1
35949,0,0,1
35969,0,0,1
36003,0,0,1
36020,0,0,1
36035,0,0,1
36049,0,0,1
36064,0,0,1
36078,0,0,1
36092,0,0,1
36113,0,0,1
36140,0,0,0
36154,0,0,0
36168,0,0,0
36182,0,0,0
36198,1633,0,0
36212,1667,0,0
36233,1691,0,0
38462,0,0,0
38477,0,0,0
38492,0,0,0
38507,0,0,0
38521,0,0,0
38535,0,0,0
38552,0,0,0
38574,0,0,0
38592,0,0,0
38607,0,0,0
38621,0,0,0
38635,0,0,0
38650,0,0,0
38665,0,0,0
38687,0,0,0
38710,0,0,0
38724,0,0,0
38738,0,0,0
38753,0,0,0
38768,0,0,0
38785,0,0,0
38807,0,0,0
38822,0,0,0
38836,0,0,0
38851,0,0,0
38866,0,0,0
38880,0,0,0
38898,0,0,0
38913,0,0,0
38936,0,0,0
38962,0,0,0
38977,0,0,0
38992,0,0,0
39008,0,0,0
39023,0,0,0
39037,0,0,0
39059,0,0,0
39118,0,0,0
39133,0,0,0
39147,0,0,0
39161,0,0,0
39175,0,0,0
39194,0,0,0
39210,0,0,0
39225,0,0,0
39239,0,0,0
39253,0,0,0
39268,0,0,0
39283,0,0,0
39298,0,0,0
39313,0,0,0
39334,0,0,0
39532,0,0,0
39547,0,0,0
39561,0,0,0
39576,0,0,0
39591,0,0,0
39606,0,0,0
39621,0,0,0
39643,0,0,0
39658,0,0,0
39672,0,0,0
39686,0,0,0
39705,0,0,0
39720,0,0,0
39734,0,0,0
39754,0,0,0
39948,0,0,0
39963,0,0,0
39977,0,0,0
39992,0,0,0
40007,0,0,0
40025,0,0,0
40040,0,0,0
40061,0,0,0
40076,0,0,0
40090,0,0,0
40107,0,0,0
40123,0,0,0
40138,0,0,0
40152,0,0,0
40177,0,0,0
40197,0,0,0
40212,0,0,0
40230,0,0,0
40244,0,0,0
40259,0,0,0
40273,0,0,0
40287,0,0,0
40309,0,0,0
40348,0,0,0
40362,0,0,0
40376,0,0,0
40391,0,0,0
40405,0,0,0
40422,0,0,0
40443,0,0,0
40751,0,0,0
40766,0,0,0
40780,0,0,0
40795,0,0,0
40810,0,0,0
40825,0,0,0
40841,0,0,0
40867,0,0,0
40883,0,0,0
40897,0,0,0
40911,0,0,0
40927,0,0,0
40945,0,0,0
40960,0,0,0
40974,0,0,0
40989,0,0,0
41004,0,0,0
41018,0,0,0
41036,0,0,0
41058,0,0,0
41073,0,0,0
41087,0,0,0
41101,0,0,0
41263,0,0,0
41278,0,0,0
41292,0,0,0
41307,0,0,0
41322,0,0,0
41336,0,0,0
41352,0,0,0
41375,0,0,0
41390,0,0,0
41404,0,0,0
41418,0,0,0
41433,0,0,0
41449,0,0,0
41464,0,0,0
41478,0,0,0
41499,0,0,0
41514,0,0,0
41528,0,0,0
41542,0,0,0
41557,0,0,0
41572,0,0,0
41586,0,0,0
41609,0,0,0
41631,0,0,0
41646,0,0,0
41663,0,0,0
41678,0,0,0
41693,0,0,0
41707,0,0,0
41721,0,0,0
41742,0,0,0
41983,0,0,1
41998,0,0,1
42012,0,0,1
42027,0,0,1
42042,0,0,1
42060,0,0,1
42075,0,0,1
42097,0,0,1
42112,0,0,1
42126,0,0,1
42140,0,0,1
42155,0,0,1
42170,0,0,1
42185,0,0,1
42390,0,0,1
42405,0,0,1
42419,0,0,1
42433,0,0,1
42448,0,0,1
42463,0,0,1
42479,0,0,1
42507,0,0,1
42522,0,0,1
42536,0,0,1
42550,0,0,1
42566,0,0,1
42582,0,0,1
42597,0,0,1
42611,0,0,1
42632,0,0,1
42647,0,0,1
42661,0,0,1
42676,0,0,1
42691,0,0,1
42705,0,0,1
42720,0,0,1
42740,0,0,1
42765,0,0,1
42780,0,0,1
42795,0,0,1
42809,0,0,1
42825,0,0,1
42839,0,0,1
42853,0,0,1
42874,0,0,1
42917,0,0,1
42931,0,0,1
42945,0,0,1
42960,0,0,1
42975,0,0,1
42991,0,0,1
43012,0,0,1
43207,0,0,1
43222,0,0,1
43236,0,0,1
43250,0,0,1
43265,0,0,1
43282,0,0,1
43298,0,0,1
43319,0,0,1
43335,0,0,1
43349,0,0,1
43363,0,0,1
43377,0,0,1
43393,0,0,1
43408,0,0,1
43422,0,0,1
43443,0,0,1
43458,0,0,1
43472,0,0,1
43486,0,0,1
43503,0,0,1
43521,0,0,1
43536,0,0,1
43555,0,0,1
43574,0,0,1
43589,0,0,1
43603,0,0,1
43619,0,0,1
43634,0,0,1
43648,0,0,1
43662,0,0,1
43683,0,0,1
43823,0,0,1
43838,0,0,1
43852,0,0,1
43866,0,0,1
43881,0,0,1
43896,0,0,1
43912,0,0,1
43939,0,0,1
43954,0,0,1
43969,0,0,1
43983,0,0,1
43999,0,0,1
44014,0,0,1
44029,0,0,1
44043,0,0,1
44064,0,0,1
44079,0,0,1
44093,0,0,1
44108,0,0,1
44124,0,0,1
44140,0,0,1
44155,0,0,1
44173,0,0,1
44194,0,0,1
44210,0,0,1
44225,0,0,1
44240,0,0,1
44255,0,0,1
44269,0,0,1
44283,0,0,1
44303,0,0,1
44357,0,0,1
44371,0,0,1
44385,0,0,1
44400,0,0,1
44416,0,0,1
44431,0,0,1
44452,0,0,1
44481,0,0,1
44495,0,0,1
44509,0,0,1
44524,0,0,1
44540,0,0,1
44554,0,0,1
44568,0,0,1
44589,0,0,1
44604,0,0,1
44619,0,0,1
44635,0,0,1
44651,0,0,1
44665,0,0,1
44679,0,0,1
44699,0,0,1
44714,0,0,1
44729,0,0,1
44744,0,0,1
44760,0,0,1
44775,0,0,1
44789,0,0,1
44803,0,0,1
44824,0,0,1
44870,0,0,1
44885,0,0,1
44899,0,0,1
44913,0,0,1
44929,0,0,1
44944,0,0,1
44965,0,0,1
44996,0,0,1
45011,0,0,1
45029,0,0,1
45044,0,0,1
45059,0,0,1
45073,0,0,1
45087,0,0,1
45108,0,0,1
45123,0,0,1
45138,0,0,1
45154,0,0,1
45169,0,0,1
45183,0,0,1
45197,0,0,1
45218,0,0,1
45240,0,0,1
45255,0,0,1
45269,0,0,1
45284,0,0,1
45299,0,0,1
45313,0,0,1
45327,0,0,1
45351,0,0,1
45383,0,0,1
45398,0,0,1
45412,0,0,1
45427,0,0,1
45443,0,0,1
45458,0,0,1
45479,0,0,1
45494,0,0,1
45508,0,0,1
45522,0,0,1
45537,0,0,1
45555,0,0,1
45570,0,0,1
45584,0,0,1
45605,0,0,1
45620,0,0,1
45634,0,0,1
45651,0,0,1
45666,0,0,1
45680,0,0,1
45694,0,0,1
45714,0,0,1
45729,0,0,1
45745,0,0,1
45762,0,0,1
45777,0,0,1
45792,0,0,1
45806,0,0,1
45820,0,0,1
45840,0,0,1
46179,0,0,1
46194,0,0,1
46208,0,0,1
46222,0,0,1
46237,0,0,1
46251,1968,0,0
46267,0,0,1
46288,0,0,1
46304,0,0,1
46319,0,0,1
46333,0,0,1
46347,0,0,1
46362,0,0,1
46377,0,0,1
46391,0,0,1
46405,0,0,1
46426,0,0,1
46441,0,0,1
46455,0,0,1
46471,0,0,1
46487,0,0,1
46501,0,0,1
46515,0,0,1
46593,0,0,1
46627,0,0,1
46641,0,0,1
46655,0,0,1
46670,0,0,1
46685,0,0,1
46700,0,0,1
46714,0,0,1
46735,0,0,1
46750,0,0,1
46764,0,0,1
46780,0,0,1
46795,0,0,1
46809,0,0,1
46823,0,0,1
46844,0,0,1
46993,0,0,1
47008,0,0,1
47022,0,0,1
47036,0,0,1
47051,0,0,1
47065,0,0,1
47080,0,0,1
47101,0,0,1
47304,0,0,1
47319,0,0,1
47333,0,0,1
47348,0,0,1
47363,0,0,1
47378,0,0,1
47394,0,0,1
47415,0,0,1
47434,0,0,1
47449,0,0,1
47464,0,0,1
47478,0,0,1
47494,0,0,1
47509,0,0,1
47523,0,0,1
47537,0,0,1
47558,0,0,1
47573,0,0,1
47589,0,0,1
47604,0,0,1
47620,0,0,1
47634,0,0,1
47648,0,0,1
47814,0,0,1
47829,0,0,1
47843,0,0,1
47857,0,0,1
47873,0,0,1
47890,0,0,1
47905,0,0,1
47927,0,0,1
47945,0,0,1
47960,0,0,1
47974,0,0,1
47988,0,0,1
48003,0,0,1
48019,0,0,1
48034,0,0,1
48048,0,0,1
48069,0,0,1
48084,0,0,1
48101,0,0,1
48116,0,0,1
48131,0,0,1
48145,0,0,1
48159,0,0,1
48236,1681,0,0
48429,1776,0,0
48444,1777,0,0
48459,1782,0,0
48474,1776,0,0
48489,1775,0,0
48504,1744,0,0
48520,0,0,0
48542,0,0,0
48562,0,0,0
48577,0,0,0
48591,0,0,0
48605,0,0,0
48621,0,0,0
48636,0,0,0
48650,0,0,0
48664,0,0,0
48685,0,0,0
48700,0,0,0
48715,0,0,0
48731,0,0,0
48746,0,0,0
48760,0,0,0
48941,0,0,0
48956,0,0,0
48970,0,0,0
48984,0,0,0
49000,0,0,0
49016,0,0,0
49032,0,0,0
49054,0,0,0
49075,0,0,0
49090,0,0,0
49104,0,0,0
49118,0,0,0
49133,0,0,0
49148,0,0,0
49162,0,0,0
49176,0,0,0
49196,0,0,0
49211,0,0,0
49227,0,0,0
49243,0,0,0
49258,0,0,0
49272,0,0,0
49286,0,0,0
49556,0,0,0
49571,0,0,0
49585,0,0,0
49600,0,0,0
49615,0,0,0
49630,0,0,0
49646,0,0,0
49668,0,0,0
49683,0,0,0
49707,0,0,0
49721,0,0,0
49735,0,0,0
49753,0,0,0
49768,0,0,0
49782,0,0,0
49796,0,0,0
49817,0,0,0
49832,0,0,0
49848,0,0,0
49863,0,0,0
49878,0,0,0
49892,0,0,0
49906,0,0,0
50069,0,0,0
50084,0,0,0
50098,0,0,0
50113,0,0,0
50128,0,0,0
50142,0,0,0
50158,0,0,0
50180,0,0,0
50195,0,0,0
50224,0,0,0
50239,0,0,0
50254,0,0,0
50269,0,0,0
50284,0,0,0
50298,0,0,0
50312,0,0,0
50333,0,0,0
50348,0,0,0
50363,0,0,0
50378,0,0,0
50393,0,0,0
50407,0,0,0
50421,0,0,0
50580,0,0,0
50595,0,0,0
50609,0,0,0
50624,0,0,0
50639,0,0,0
50654,0,0,0
50670,0,0,0
50692,0,0,0
50707,0,0,0
50739,0,0,0
50754,0,0,0
50769,0,0,0
50785,0,0,0
50799,0,0,0
50813,0,0,0
50827,0,0,0
50848,0,0,0
50865,0,0,0
50880,0,0,0
50895,0,0,0
50910,0,0,0
