ts,red_raw,ir_raw,led_current
33375,1714179,1991854,40
33390,1714225,1992032,40
33405,1714221,1991972,40
33420,1714238,1991991,40
33434,1714215,1991969,40
33452,1714194,1991884,40
33468,1714216,1992003,40
33483,1714272,1992121,40
33498,1714253,1992138,40
33512,1714233,1991996,40
33527,1714273,1992175,40
33541,1714292,1992142,40
33556,1714266,1992167,40
33580,1714327,1992176,40
33596,1713911,1991158,40
33614,1713880,1991107,40
33631,1713841,1991020,40
33646,1713860,1990995,40
33665,1713810,1990904,40
33684,1713786,1990812,40
33699,1713732,1990696,40
33713,1713724,1990707,40
33728,1713726,1990714,40
33743,1713744,1990716,40
33758,1713745,1990767,40
33772,1713737,1990814,40
33793,1713777,1990933,40
33808,1713819,1990889,40
33822,1713775,1990902,40
33840,1713798,1990902,40
33856,1713788,1990889,40
33870,1713798,1990954,40
33891,1713770,1990798,40
33907,1713755,1990755,40
33922,1713774,1990817,45
33941,1713770,1990800,45
33956,1713740,1990772,45
33970,1713741,1990774,45
33984,1994516,2274305,45
34000,1994566,2274333,45
34015,1994543,2274320,45
34029,1994535,2274344,45
34043,1713724,1990735,45
34057,1994541,2274360,45
34072,1994561,2274366,45
34086,1994655,2274642,45
34104,1994713,2274688,45
34127,1994660,2274688,45
34143,1994681,2274701,45
34157,1994671,2274678,45
34172,1994681,2274702,45
34187,1994763,2274829,45
34202,1994745,2274840,45
34218,1994746,2274843,45
34235,1994706,2274824,45
34250,1994735,2274840,45
34264,1994748,2274872,45
34278,1994769,2274920,45
34302,1994778,2274932,45
34317,1994773,2274945,45
34331,1994808,2274970,45
34348,1994774,2274949,45
34364,1994792,2274998,45
34378,1994724,2274885,45
34392,1994741,2274827,45
34408,1994736,2274740,45
34423,1994694,2274721,45
34437,1994674,2274673,45
34451,1994650,2274602,45
34471,1994583,2274483,45
34489,1994038,2273008,45
34505,1994060,2272999,45
34524,1994037,2273008,45
34540,1994045,2273047,45
34554,1994053,2273071,45
34568,1994055,2273069,45
34584,1994221,2273452,45
34599,1994217,2273479,45
34615,1994198,2273457,45
34630,1994209,2273457,45
34644,1994204,2273464,45
34658,1994177,2273489,45
34673,1994249,2273477,45
34688,1994226,2273542,45
34714,1994237,2273522,45
34729,1994204,2273510,45
34744,1994182,2273533,45
34758,1994206,2273513,45
34772,1994133,2273495,45
34788,1994139,2273381,45
34802,1994122,2273353,45
34817,1994143,2273403,45
34834,1994117,2273387,45
34849,1994146,2273392,45
34863,1994141,2273424,45
34877,1994256,2273726,45
34900,1994242,2273736,45
34916,1994253,2273768,45
34931,1994247,2273748,45
34946,1994256,2273749,45
34962,1994213,2273754,45
34976,1994318,2273988,45
34990,1994330,2273989,45
35006,1994340,2273998,45
35021,1994329,2274015,45
35037,1994334,2274014,45
35052,1994343,2274034,45
35072,1994380,2274201,45
35087,1994383,2274185,45
35101,1994407,2274206,45
35117,1994412,2274229,45
35132,1994405,2274208,45
35147,1994409,2274217,45
35161,1994393,2274205,45
35175,1994496,2274428,45
35195,1994442,2274433,45
35220,1994449,2274457,45
35236,1994467,2274468,45
35252,1994481,2274486,45
35266,1994476,2274488,45
35280,1994006,2273182,45
35294,1993980,2273123,45
35310,1993942,2273071,45
35329,1994457,2274491,45
35344,1993884,2272932,45
35358,1993890,2272878,45
35377,1993881,2272942,45
35392,1993857,2272999,45
35406,1993906,2272994,45
35420,1993897,2273025,45
35437,1993908,2273037,45
35453,1993927,2273056,45
35468,1993958,2273089,45
35482,1994015,2273360,45
35502,1994002,2273352,45
35518,1993936,2273200,45
35533,1993999,2273350,45
35549,1994023,2273383,45
35564,1993947,2273188,45
35578,1993936,2273213,45
35592,1993921,2273144,45
35606,1993910,2273165,45
35621,1993947,2273158,45
35637,1993940,2273156,45
35652,1993927,2273127,45
35666,1993991,2273340,45
35680,1993996,2273389,45
35701,1993951,2273335,45
35715,1993999,2273367,45
35731,1994022,2273400,45
35746,1994010,2273385,45
35761,1994006,2273458,45
35775,1994122,2273738,45
35789,1994121,2273764,45
35810,1994118,2273726,45
35825,1994136,2273791,45
35840,1994141,2273813,45
35857,1994138,2273793,45
35873,1994197,2273934,45
35887,1994208,2273963,45
35901,1994197,2273967,45
35915,1994209,2273952,45
35930,1994175,2273990,45
35956,1994200,2274014,45
35971,1994282,2274183,45
35985,1994253,2274203,45
36000,1994246,2274167,45
36015,1994266,2274166,45
36029,1994267,2274159,45
36045,1994267,2274100,45
36060,1994254,2274131,45
36075,1993656,2272448,45
36089,1993614,2272446,45
36103,1993610,2272436,45
36123,1993585,2272400,45
36139,1993598,2272396,45
36155,1993599,2272416,45
36171,1993752,2272928,45
