pc_time_ms,red_raw,ir_raw,red_filtered,ir_filtered,esp_ts
18496,601780,596972,-1082.87,-1968.3,35253
18497,603209,599782,11.2,169.23,35293
18700,603228,599819,297.63,716.33,35333
18701,603671,600667,642.58,1363.99,35373
18701,603671,600670,674.88,1413.35,35413
18702,603677,600667,630.0,1304.31,35453
18702,604037,601459,807.83,1699.9,35493
18808,604054,601481,795.63,1670.35,35533
18808,604367,602309,936.1,2079.2,35573
18808,604364,602306,890.24,2004.13,35613
18809,604241,602010,720.71,1616.75,35653
18809,604253,602017,625.34,1387.65,35693
19018,604160,601955,485.96,1171.15,35733
19018,604154,601950,405.85,1014.49,35773
19018,603358,600623,-184.34,-3.73,35813
19018,603324,600581,-339.78,-287.27,35853
19019,603150,600393,-467.28,-460.68,35893
19220,603154,600381,-457.09,-473.41,35933
19220,602949,599988,-553.89,-701.14,35973
19221,602924,599995,-548.26,-694.4,36013
19221,602939,599986,-490.49,-640.1,36053
19221,603084,600090,-336.91,-502.41,36093
19520,603083,600074,-270.52,-436.17,36133
19520,603080,599967,-233.06,-454.74,36173
19521,603067,599945,-212.69,-435.8,36213
19521,602579,599038,-518.06,-1004.79,36253
19521,602578,599044,-551.61,-1058.7,36293
19522,602533,598956,-543.72,-1042.01,36333
19826,602532,598949,-496.52,-954.56,36373
19827,602517,598888,-452.83,-892.98,36413
19827,602512,598880,-406.94,-807.48,36453
19827,602231,598456,-550.22,-1003.24,36493
19827,602224,598441,-544.43,-977.74,36533
20134,601990,598096,-654.51,-1120.9,36573
20134,601975,598098,-636.9,-1060.81,36613
20134,601981,598097,-574.68,-956.79,36653
20134,601880,597972,-578.5,-934.02,36693
20134,601886,597970,-526.53,-850.8,36733
20135,601782,597837,-538.95,-847.56,36773
20135,601765,597828,-507.98,-781.15,36813
20135,601607,597573,-563.66,-870.15,36853
20135,601605,597555,-531.36,-831.08,36893
20135,601571,597427,-501.26,-837.26,36933
20339,601568,597443,-453.39,-757.34,36973
20339,601847,597877,-215.25,-381.1,37013
20339,601854,597902,-132.63,-237.66,37053
20339,602264,598576,175.32,272.12,37093
20340,602272,598577,243.16,377.8,37133
20543,602272,598609,239.66,393.94,37173
20544,602583,599065,427.93,671.64,37213
20544,602594,599077,446.44,692.69,37253
20544,602647,599151,448.98,689.21,37293
20544,602655,599150,417.14,629.47,37333
20748,602813,599453,480.27,765.29,37373
20749,602819,599459,459.55,738.81,37413
20749,603001,599825,538.02,916.11,37453
20749,603020,599853,525.04,902.07,37493
20749,603357,600404,704.33,1193.23,37533
21055,603344,600401,681.07,1163.46,37573
21055,603156,600066,491.11,832.26,37613
21056,603162,600065,405.97,678.1,37653
21056,603013,599758,249.98,375.49,37693
21056,602990,599729,174.25,248.32,37733
21362,602989,599709,139.83,181.92,37773
21363,602622,598997,-127.66,-329.39,37813
21363,602604,598974,-196.06,-445.42,37853
21363,602667,599031,-154.25,-398.52,37893
21363,602663,599029,-133.47,-354.41,37933
21364,602779,599213,-38.9,-189.54,37973
21364,602785,599219,-7.85,-128.14,38013
21364,602770,599165,-9.43,-138.23,38053
21364,602775,599166,-5.68,-128.34,38093
21364,602920,599415,93.33,52.54,38133
21364,602928,599434,115.74,106.29,38173
